Name,Description,Price,Links
Asus VivoBook X441NA-GA190,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",$295.99,https://webscraper.io/test-sites/e-commerce/allinone/product/545
Prestigio SmartBook 133S Dark Grey,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",$299.00,https://webscraper.io/test-sites/e-commerce/allinone/product/546
Prestigio SmartBook 133S Gold,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",$299.00,https://webscraper.io/test-sites/e-commerce/allinone/product/547
Aspire E1-510,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",$306.99,https://webscraper.io/test-sites/e-commerce/allinone/product/517
Lenovo V110-15IAP,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",$321.94,https://webscraper.io/test-sites/e-commerce/allinone/product/548
Lenovo V110-15IAP,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",$356.49,https://webscraper.io/test-sites/e-commerce/allinone/product/549
Hewlett Packard 250 G6 Dark Ash Silver,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",$364.46,https://webscraper.io/test-sites/e-commerce/allinone/product/550
Acer Aspire 3 A315-31 Black,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",$372.70,https://webscraper.io/test-sites/e-commerce/allinone/product/551
Acer Aspire A315-31-C33J,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",$379.94,https://webscraper.io/test-sites/e-commerce/allinone/product/552
Acer Aspire ES1-572 Black,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",$379.95,https://webscraper.io/test-sites/e-commerce/allinone/product/553
Acer Aspire 3 A315-31 Black,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",$391.48,https://webscraper.io/test-sites/e-commerce/allinone/product/554
Acer Aspire 3 A315-21,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",$393.88,https://webscraper.io/test-sites/e-commerce/allinone/product/555
Asus VivoBook Max,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",$399.00,https://webscraper.io/test-sites/e-commerce/allinone/product/530
Asus VivoBook E502NA-GO022T Dark Blue,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",$399.99,https://webscraper.io/test-sites/e-commerce/allinone/product/556
Lenovo ThinkPad E31-80,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",$404.23,https://webscraper.io/test-sites/e-commerce/allinone/product/557
Acer Aspire 3 A315-31 Black,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",$408.98,https://webscraper.io/test-sites/e-commerce/allinone/product/558
Lenovo V110-15ISK,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",$409.63,https://webscraper.io/test-sites/e-commerce/allinone/product/559
Acer Aspire ES1-732 Black,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",$410.46,https://webscraper.io/test-sites/e-commerce/allinone/product/560
Asus VivoBook 15 X540NA-GQ026T,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",$410.66,https://webscraper.io/test-sites/e-commerce/allinone/product/561
Packard 255 G2,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",$416.99,https://webscraper.io/test-sites/e-commerce/allinone/product/516
Asus EeeBook R416NA-FA014T,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",$433.30,https://webscraper.io/test-sites/e-commerce/allinone/product/562
Acer Aspire 3 A315-51,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",$436.29,https://webscraper.io/test-sites/e-commerce/allinone/product/563
Acer Aspire ES1-572 Black,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",$436.29,https://webscraper.io/test-sites/e-commerce/allinone/product/564
Acer Extensa 15 (2540) Black,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",$439.73,https://webscraper.io/test-sites/e-commerce/allinone/product/565
Acer Aspire ES1-572 Black,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",$454.62,https://webscraper.io/test-sites/e-commerce/allinone/product/566
Lenovo V110-15ISK,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",$454.73,https://webscraper.io/test-sites/e-commerce/allinone/product/567
Acer Aspire A315-51-33TG,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",$457.38,https://webscraper.io/test-sites/e-commerce/allinone/product/568
Lenovo V110-15IKB,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",$465.95,https://webscraper.io/test-sites/e-commerce/allinone/product/569
Asus VivoBook 15 X540UA-DM260 Chocolate Black,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",$468.56,https://webscraper.io/test-sites/e-commerce/allinone/product/570
Acer Aspire ES1-572 Black,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",$469.10,https://webscraper.io/test-sites/e-commerce/allinone/product/571
Lenovo V510 Black,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",$484.23,https://webscraper.io/test-sites/e-commerce/allinone/product/572
Acer Aspire ES1-572 Black,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",$485.90,https://webscraper.io/test-sites/e-commerce/allinone/product/573
Lenovo V510 Black,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",$487.80,https://webscraper.io/test-sites/e-commerce/allinone/product/574
Acer Swift 1 SF113-31 Silver,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",$488.64,https://webscraper.io/test-sites/e-commerce/allinone/product/575
Dell Vostro 15,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",$488.78,https://webscraper.io/test-sites/e-commerce/allinone/product/531
Acer Aspire 3 A315-51 Black,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",$494.71,https://webscraper.io/test-sites/e-commerce/allinone/product/576
Dell Vostro 15 (3568) Red,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",$497.17,https://webscraper.io/test-sites/e-commerce/allinone/product/577
Lenovo V510 Black,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",$498.23,https://webscraper.io/test-sites/e-commerce/allinone/product/578
HP 250 G3,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",$520.99,https://webscraper.io/test-sites/e-commerce/allinone/product/527
Acer Spin 5,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",$564.98,https://webscraper.io/test-sites/e-commerce/allinone/product/532
HP 350 G1,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",$577.99,https://webscraper.io/test-sites/e-commerce/allinone/product/529
Aspire E1-572G,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",$581.99,https://webscraper.io/test-sites/e-commerce/allinone/product/521
Pavilion,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",$609.99,https://webscraper.io/test-sites/e-commerce/allinone/product/523
Acer Aspire A515-51-5654,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",$679.00,https://webscraper.io/test-sites/e-commerce/allinone/product/533
Dell Inspiron 15,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",$679.00,https://webscraper.io/test-sites/e-commerce/allinone/product/534
Asus VivoBook S14,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",$729.00,https://webscraper.io/test-sites/e-commerce/allinone/product/535
ProBook,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",$739.99,https://webscraper.io/test-sites/e-commerce/allinone/product/519
Inspiron 15,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",$745.99,https://webscraper.io/test-sites/e-commerce/allinone/product/524
Asus ROG STRIX GL553VD-DM256,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",$799.00,https://webscraper.io/test-sites/e-commerce/allinone/product/536
Acer Nitro 5 AN515-51,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",$809.00,https://webscraper.io/test-sites/e-commerce/allinone/product/537
Asus ROG STRIX GL553VD-DM256,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",$899.00,https://webscraper.io/test-sites/e-commerce/allinone/product/538
Lenovo ThinkPad L570,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",$999.00,https://webscraper.io/test-sites/e-commerce/allinone/product/539
ThinkPad Yoga,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",$1033.99,https://webscraper.io/test-sites/e-commerce/allinone/product/522
Lenovo ThinkPad L460,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",$1096.02,https://webscraper.io/test-sites/e-commerce/allinone/product/579
Dell Inspiron 15 (7567) Black,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",$1098.42,https://webscraper.io/test-sites/e-commerce/allinone/product/580
MSI GL72M 7RDX,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",$1099.00,https://webscraper.io/test-sites/e-commerce/allinone/product/581
MSI GL72M 7RDX,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",$1099.00,https://webscraper.io/test-sites/e-commerce/allinone/product/582
Asus ROG Strix GL553VD-DM535T,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",$1101.83,https://webscraper.io/test-sites/e-commerce/allinone/product/583
Dell Latitude 5280,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",$1102.66,https://webscraper.io/test-sites/e-commerce/allinone/product/584
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",$1110.14,https://webscraper.io/test-sites/e-commerce/allinone/product/585
Lenovo Legion Y520-15IKBM,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",$1112.91,https://webscraper.io/test-sites/e-commerce/allinone/product/586
Toshiba Portege Z30-C-16J Grey,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",$1114.55,https://webscraper.io/test-sites/e-commerce/allinone/product/587
Acer Predator Helios 300 (PH317-51),"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",$1123.87,https://webscraper.io/test-sites/e-commerce/allinone/product/588
Acer Aspire 7 A715-71G,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",$1123.87,https://webscraper.io/test-sites/e-commerce/allinone/product/589
Dell Inspiron 17 2in1 (7779) Silver,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",$1124.20,https://webscraper.io/test-sites/e-commerce/allinone/product/590
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",$1133.82,https://webscraper.io/test-sites/e-commerce/allinone/product/591
Lenovo Legion Y520,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",$1133.91,https://webscraper.io/test-sites/e-commerce/allinone/product/592
Asus AsusPro Advanced BU401LA-FA271G Dark Grey,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",$1139.54,https://webscraper.io/test-sites/e-commerce/allinone/product/593
Acer Nitro 5 AN515-51,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home",$1140.62,https://webscraper.io/test-sites/e-commerce/allinone/product/594
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",$1143.40,https://webscraper.io/test-sites/e-commerce/allinone/product/595
Dell Inspiron 15 (7567) Black,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",$1144.20,https://webscraper.io/test-sites/e-commerce/allinone/product/596
Dell Latitude 5580,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",$1144.40,https://webscraper.io/test-sites/e-commerce/allinone/product/597
Lenovo Legion Y520-15IKBM,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",$1149.00,https://webscraper.io/test-sites/e-commerce/allinone/product/540
MSI GP62M 7RDX Leopard,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",$1149.00,https://webscraper.io/test-sites/e-commerce/allinone/product/598
Lenovo Yoga 720 Grey,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",$1149.73,https://webscraper.io/test-sites/e-commerce/allinone/product/599
Toshiba Portege Z30-C-16L Grey,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",$1154.04,https://webscraper.io/test-sites/e-commerce/allinone/product/600
Acer TravelMate P645-S-511A Black,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",$1170.10,https://webscraper.io/test-sites/e-commerce/allinone/product/601
Dell Latitude 5580,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home",$1178.19,https://webscraper.io/test-sites/e-commerce/allinone/product/602
ThinkPad T540p,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",$1178.99,https://webscraper.io/test-sites/e-commerce/allinone/product/518
MSI GS63 7RD Stealth,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",$1179.00,https://webscraper.io/test-sites/e-commerce/allinone/product/603
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",$1187.88,https://webscraper.io/test-sites/e-commerce/allinone/product/604
Acer Predator Helios 300 (PH317-51),"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",$1187.98,https://webscraper.io/test-sites/e-commerce/allinone/product/605
MSI GL62M 7REX,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",$1199.00,https://webscraper.io/test-sites/e-commerce/allinone/product/606
MSI GL62M 7REX2,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",$1199.00,https://webscraper.io/test-sites/e-commerce/allinone/product/607
Lenovo Yoga 910 Grey,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",$1199.73,https://webscraper.io/test-sites/e-commerce/allinone/product/608
Toshiba Portege X30-D-10J Black/Blue,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",$1203.41,https://webscraper.io/test-sites/e-commerce/allinone/product/609
Lenovo IdeaPad Miix 510 Platinum Silver,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",$1212.16,https://webscraper.io/test-sites/e-commerce/allinone/product/610
Acer Predator Helios 300 (PH317-51),"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",$1221.58,https://webscraper.io/test-sites/e-commerce/allinone/product/611
ThinkPad Yoga,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",$1223.99,https://webscraper.io/test-sites/e-commerce/allinone/product/528
Asus VivoBook Pro 15 N580VN-FI006T Gold Metal,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd",$1235.49,https://webscraper.io/test-sites/e-commerce/allinone/product/612
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",$1238.37,https://webscraper.io/test-sites/e-commerce/allinone/product/613
Asus ZenBook UX530UX-FY040T Blue,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",$1239.20,https://webscraper.io/test-sites/e-commerce/allinone/product/614
ThinkPad X230,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",$1244.99,https://webscraper.io/test-sites/e-commerce/allinone/product/526
Asus ROG Strix GL753VE-GC096T,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",$1259.00,https://webscraper.io/test-sites/e-commerce/allinone/product/615
"Apple MacBook Air 13""","Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",$1260.13,https://webscraper.io/test-sites/e-commerce/allinone/product/616
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro",$1271.06,https://webscraper.io/test-sites/e-commerce/allinone/product/617
Hewlett Packard Spectre 13-v106na Dark Ash Silver,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",$1273.11,https://webscraper.io/test-sites/e-commerce/allinone/product/618
Dell XPS 13,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",$1281.99,https://webscraper.io/test-sites/e-commerce/allinone/product/525
Toshiba Portege Z30-C-16K Grey,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",$1294.74,https://webscraper.io/test-sites/e-commerce/allinone/product/619
MSI GL62VR 7RFX,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",$1299.00,https://webscraper.io/test-sites/e-commerce/allinone/product/620
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",$1310.39,https://webscraper.io/test-sites/e-commerce/allinone/product/621
ThinkPad X240,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",$1311.99,https://webscraper.io/test-sites/e-commerce/allinone/product/520
Hewlett Packard ProBook 640 G3,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",$1326.83,https://webscraper.io/test-sites/e-commerce/allinone/product/622
"Apple MacBook Pro 13"" Space Gray","Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",$1333.00,https://webscraper.io/test-sites/e-commerce/allinone/product/623
Dell Latitude 5580,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",$1337.28,https://webscraper.io/test-sites/e-commerce/allinone/product/624
Dell Latitude 5480,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",$1338.37,https://webscraper.io/test-sites/e-commerce/allinone/product/625
Dell Latitude 5580,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",$1341.22,https://webscraper.io/test-sites/e-commerce/allinone/product/626
"Apple MacBook Air 13""","Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS",$1347.78,https://webscraper.io/test-sites/e-commerce/allinone/product/627
Lenovo ThinkPad T470,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",$1349.23,https://webscraper.io/test-sites/e-commerce/allinone/product/628
Lenovo ThinkPad Yoga 370 Black,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",$1362.24,https://webscraper.io/test-sites/e-commerce/allinone/product/629
Toshiba Portege X20W-D-10V Black/Blue,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",$1366.32,https://webscraper.io/test-sites/e-commerce/allinone/product/630
Asus ASUSPRO B9440UA-GV0279R Gray,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",$1381.13,https://webscraper.io/test-sites/e-commerce/allinone/product/631
Lenovo Legion Y720,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",$1399.00,https://webscraper.io/test-sites/e-commerce/allinone/product/541
Asus ROG Strix GL702VM-GC146T,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd",$1399.00,https://webscraper.io/test-sites/e-commerce/allinone/product/632
Asus ROG Strix GL702ZC-GC154T,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",$1769.00,https://webscraper.io/test-sites/e-commerce/allinone/product/542
Asus ROG Strix GL702ZC-GC209T,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",$1769.00,https://webscraper.io/test-sites/e-commerce/allinone/product/543
Asus ROG Strix SCAR Edition GL503VM-ED115T,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",$1799.00,https://webscraper.io/test-sites/e-commerce/allinone/product/544
